,Time (sec),Condition,Values
0,30,GC,0.903648
1,60,GC,0.900182
2,90,GC,0.91157
3,120,GC,0.890279
4,150,GC,1.163601
5,180,GC,1.146271
6,210,GC,1.139834
7,240,GC,1.120523
8,30,GC,1.059339
9,60,GC,0.970698
10,90,GC,0.954713
11,120,GC,0.948416
12,150,GC,1.216763
13,180,GC,1.204653
14,210,GC,1.206107
15,240,GC,1.196903
16,30,GC,0.897554
17,60,GC,0.867995
18,90,GC,0.92852
19,120,GC,0.869872
20,150,GC,1.173905
21,180,GC,1.115257
22,210,GC,1.112911
23,240,GC,1.043002
24,30,GC,1.063593
25,60,GC,1.126036
26,90,GC,1.03263
27,120,GC,1.111587
28,150,GC,1.33762
29,180,GC,1.261759
30,210,GC,1.205509
31,240,GC,1.196736
32,30,GC,1.009334
33,60,GC,1.030789
34,90,GC,0.960703
35,120,GC,1.029836
36,150,GC,1.273945
37,180,GC,1.176206
38,210,GC,1.137587
39,240,GC,1.113271
40,30,GC,0.902339
41,60,GC,0.899996
42,90,GC,0.925777
43,120,GC,0.92812
44,150,GC,1.134369
45,180,GC,1.038276
46,210,GC,1.022807
47,240,GC,0.977339
48,30,GC,1.164192
49,60,GC,1.176912
50,90,GC,1.15482
51,120,GC,1.176912
52,150,GC,1.503609
53,180,GC,1.399842
54,210,GC,1.491558
55,240,GC,1.41457
56,30,GC,1.100517
57,60,GC,1.103392
58,90,GC,1.061701
59,120,GC,1.15371
60,150,GC,1.717986
61,180,GC,1.61735
62,210,GC,1.529654
63,240,GC,1.468554
64,30,GC,1.018598
65,60,GC,0.954072
66,90,GC,0.983043
67,120,GC,0.931685
68,150,GC,1.480161
69,180,GC,1.610531
70,210,GC,1.617115
71,240,GC,1.649379
72,30,GC,0.974204
73,60,GC,1.011018
74,90,GC,1.041015
75,120,GC,1.049196
76,150,GC,1.794336
77,180,GC,1.70571
78,210,GC,1.696166
79,240,GC,1.651853
80,30,GC,0.850454
81,60,GC,0.864406
82,90,GC,0.841153
83,120,GC,0.843479
84,150,GC,1.359099
85,180,GC,1.469548
86,210,GC,1.546281
87,240,GC,1.489894
88,30,GC,0.994477
89,60,GC,0.93016
90,90,GC,0.892541
91,120,GC,0.955644
92,150,GC,1.667372
93,180,GC,1.488985
94,210,GC,1.567863
95,240,GC,1.570897
96,30,GC,1.195959
97,60,GC,1.280581
98,90,GC,1.379749
99,120,GC,1.439249
100,150,GC,1.915914
101,180,GC,1.843191
102,210,GC,1.816746
103,240,GC,1.703696
104,30,GC,1.038266
105,60,GC,0.966854
106,90,GC,0.956812
107,120,GC,0.915527
108,150,GC,1.327821
109,180,GC,1.567721
110,210,GC,1.582227
111,240,GC,1.471203
112,30,GC,0.934633
113,60,GC,0.888139
114,90,GC,0.896592
115,120,GC,0.873345
116,150,GC,1.439197
117,180,GC,1.504711
118,210,GC,1.549091
119,240,GC,1.502069
120,30,GC,0.892891
121,60,GC,0.870443
122,90,GC,0.855851
123,120,GC,0.892891
124,150,GC,1.438953
125,180,GC,1.420994
126,210,GC,1.444565
127,240,GC,1.399106
128,30,GC,1.178293
129,60,GC,1.378825
130,90,GC,1.161909
131,120,GC,1.151424
132,150,GC,1.883433
133,180,GC,1.879501
134,210,GC,1.744502
135,240,GC,1.738604
136,30,GC,1.101996
137,60,GC,1.135743
138,90,GC,1.042067
139,120,GC,1.066504
140,150,GC,1.403387
141,180,GC,1.425497
142,210,GC,1.477862
143,240,GC,1.481935
144,30,GC,1.023159
145,60,GC,1.095028
146,90,GC,1.111362
147,120,GC,1.103522
148,150,GC,1.698731
149,180,GC,1.751
150,210,GC,1.723559
151,240,GC,1.677171
152,30,GC,0.95614
153,60,GC,0.982303
154,90,GC,0.957924
155,120,GC,0.961491
156,150,GC,1.635189
157,180,GC,1.668488
158,210,GC,1.670866
159,240,GC,1.735679
160,30,GC,1.015239
161,60,GC,0.950761
162,90,GC,0.949002
163,120,GC,0.905626
164,150,GC,1.565063
165,180,GC,1.49355
166,210,GC,1.453691
167,240,GC,1.372214
168,30,GC,0.895512
169,60,GC,0.957719
170,90,GC,0.924672
171,120,GC,0.957071
172,150,GC,1.57071
173,180,GC,1.58367
174,210,GC,1.546087
175,240,GC,1.435282
176,30,GC,0.936426
177,60,GC,0.932604
178,90,GC,0.879731
179,120,GC,0.925596
180,150,GC,1.53268
181,180,GC,1.638427
182,210,GC,1.685566
183,240,GC,1.619953
184,30,GC,1.062234
185,60,GC,1.038728
186,90,GC,1.075106
187,120,GC,1.025856
188,150,GC,1.543541
189,180,GC,1.509962
190,210,GC,1.564808
191,240,GC,1.584396
192,30,GC,0.831001
193,60,GC,0.858548
194,90,GC,0.859007
195,120,GC,0.829624
196,150,GC,1.327765
197,180,GC,1.243288
198,210,GC,1.217577
199,240,GC,1.248338
200,30,TRPL,1.057859
201,60,TRPL,1.089743
202,90,TRPL,1.066425
203,120,TRPL,1.024073
204,150,TRPL,1.243925
205,180,TRPL,1.179682
206,210,TRPL,1.180158
207,240,TRPL,1.089267
208,30,TRPL,1.063663
